,HolderAddress,Balance,PendingBalanceUpdate
172,0x6a72aa4ab7c56a39329ea32169943ba5385a3909,317954218.318927,No
185,0x6f23494674d8c4fa1b4470c8c114ff3fa64eade0,4600263934.6,No
202,0x7c4801b954dee00eab1c2c686e160d9bbb22765e,1380965778.45875,No
148,0x5dcb21dee96049b3da44b131e8707e045fe94c84,366663727.793044,No
120,0x4823be7f266c5bca85b7dbd8e41f4710e1c49a7b,1225024000.10307,No
156,0x62b5d52aabbc880e757a7ed3c4d0d9fc0899d35b,3561261052.07761,No
339,0xc7e3bfb33c42fef42da418931e51b5e195452eb8,22071995.46,No
3,0x0310a59e57f1ba2fd0fc66a07a9a67e0f253afba,659804907.74,No
347,0xce08958266f58b638527b224d8b7141a3ff9c77e,26196000000.0,No
233,0x8dcc5ffb6a33833cfa48839bc1e1ec4b859b15ee,268246.199493517,No
281,0xa5f7749f597e7c442da5682f293bb13514b60d95,41062726.7361063,No
195,0x7548232ec5da8fe2f0f1e90221366d0505155466,473039560.0946,No
257,0x99f67cda583d4a393847798698ac644737a91c37,47615864.4576195,No
369,0xddfb25a8735d0fa20ea3ebb8a8f1a74db28be436,50000000.0,No
384,0xe468406352b25d3497a0437776b19ba3d2e6f9fd,38220585937.5886,No
352,0xd2bbb2d9aa005a59245755730e429e793979fdf4,343527666.656185,No
241,0x919fc9220b0ff5f390b7134777f9c4d529f32aaa,63567720.1501677,No
378,0xe190e971a3f3e824d5fed720f00f4c7e4780a6bb,93948120.0,No
228,0x8bd2eff2d1e3ea5487d69a5a82c64e32c42e2900,229091354.448579,No
204,0x7caddbd0900cf7cf13cd41ec8a9e36659195f5a4,287796420.0,No
40,0x1716bf1969e097620a119790a6a999a5dafdb7fe,9163782778.14113,No
235,0x8e24dfe2f243c498c5ba693dfeb6ee70069bc873,1613303161.11348,No
217,0x8448ad721742df655b337b96abc40093a9efa8e5,131038666.194846,No
260,0x9b5393c424fe82c7916457c47250962fa518bdc3,1136409841.25851,No
190,0x717f37ad3ccc0a2f0af0bbb3abf62af88abf8217,9418160.40017758,No
231,0x8d1554f4510eea73794b3555c040b8d5c9a7ded1,1296555457.01067,No
295,0xabf61252a5fdc6406907e389ae987f0db75fd6ce,2362701388.21708,No
325,0xc0486dabdac1d03b6110a6285d4086bb423e58b3,1908674924.40533,No
45,0x19b41478e77ccedb3539ae8ff4550118110d469d,1626123514.59038,No
387,0xe70730274af22b0a35f0b2ae8fa47c12d92eeb0c,37582250.5132182,No
39,0x163ccdbb3021df5680248ecbdfee8fc5bd0aadda,118836559.826434,No
124,0x4b2a3264eb3d935fe13ae10a3d68c90b070cfbdf,268183692.881879,No
15,0x0cffeecced2b0536b3d9c6174ff7e2c4633c8625,1.30038559,No
2,0x02938ea3896afc241914aa45c03c9a0bd44607a2,582795.34,No
273,0xa19336925671db414048758840b4fdff6e124a99,738697476.273429,No
23,0x0e9e8b41e2439bd9b66dc73bb8566f8ac96e1c34,100023270.80425,No
381,0xe310e3d0a2380bd9c0da28a3493e7105bdac96e0,5328212070.59022,No
67,0x2817c198bd85d31d9f4fe4df3a2fe041764522b5,6555613694.67948,No
12,0x0a40ce5805ac1c8bcaf06299bdf3a79a80d6b85d,222207431.993123,No
311,0xb83c186e9e2d946ec05da338f891f8639ab98791,407407800.09546,No
327,0xc0f8d909f7b359954fd3a8a3299e94302d41126c,30293416.2149232,No
8,0x045a58fdb369cd17596058641ffda7ae017238f7,708001086.927071,No
418,0xfd5394570a768578edd7f5da99c3853f7a4c1a90,232200000.0,No
188,0x70ee63bd6376bbe745c734b9029ee5fa92c8ebf0,1022085321.10138,No
171,0x6a6feb47adf27a3c7f9fd612f9758090366ebb92,1826657200.0,No
